Index,Date,Instrument,Total Return
630,2017,COFS.OQ,NaN
631,2018,COFS.OQ,NaN
632,2019,COFS.OQ,NaN
633,2020,COFS.OQ,NaN
634,2021,COFS.OQ,-3.958948266
635,2022,COFS.OQ,-10.85029178
636,2023,COFS.OQ,14.42641546
637,2024,COFS.OQ,5.271642438
638,2013,COLB.OQ,-2.12676747
639,2014,COLB.OQ,56.09580984
640,2015,COLB.OQ,4.115457094
641,2016,COLB.OQ,22.94268176
642,2017,COLB.OQ,44.60580046
643,2018,COLB.OQ,-0.639813063
644,2019,COLB.OQ,-14.0546473
645,2020,COLB.OQ,16.39894436
646,2021,COLB.OQ,-7.752052679
647,2022,COLB.OQ,-6.136443293
648,2023,COLB.OQ,-4.270816204
649,2024,COLB.OQ,-5.900051189
650,2013,CPF.N,20.66563467
651,2014,CPF.N,29.92764634
652,2015,CPF.N,9.140713684
653,2016,CPF.N,6.155636632
654,2017,CPF.N,46.2436495
655,2018,CPF.N,-2.892227287
656,2019,CPF.N,-15.99235069
657,2020,CPF.N,25.35896152
658,2021,CPF.N,-32.40353994
659,2022,CPF.N,53.8138548
660,2023,CPF.N,-24.7780463
661,2024,CPF.N,2.921438905
662,2013,CTBI.OQ,15.78005111
663,2014,CTBI.OQ,42.51863959
664,2015,CTBI.OQ,-7.868428799
665,2016,CTBI.OQ,-1.031012706
666,2017,CTBI.OQ,46.71528831
667,2018,CTBI.OQ,-2.25173441
668,2019,CTBI.OQ,-13.34221636
669,2020,CTBI.OQ,21.90420947
670,2021,CTBI.OQ,-16.68303553
671,2022,CTBI.OQ,22.0875689
672,2023,CTBI.OQ,9.557591472
673,2024,CTBI.OQ,-0.010636319
674,2013,CUBI.N,NaN
675,2014,CUBI.N,17.5862069
676,2015,CUBI.N,-4.887585529
677,2016,CUBI.N,39.8766701
678,2017,CUBI.N,31.59441586
679,2018,CUBI.N,-27.4427694
680,2019,CUBI.N,-29.97306656
681,2020,CUBI.N,30.82417583
682,2021,CUBI.N,-23.64552709
683,2022,CUBI.N,259.5709571
684,2023,CUBI.N,-56.64677987
685,2024,CUBI.N,103.3168666
686,2013,CVBF.OQ,7.727548589
687,2014,CVBF.OQ,68.99682144
688,2015,CVBF.OQ,-3.730294478
689,2016,CVBF.OQ,8.64732969
690,2017,CVBF.OQ,38.46627084
691,2018,CVBF.OQ,5.093489058
692,2019,CVBF.OQ,-11.98369276
693,2020,CVBF.OQ,10.21172434
694,2021,CVBF.OQ,-5.225257809
695,2022,CVBF.OQ,13.57697488
696,2023,CVBF.OQ,24.01815138
697,2024,CVBF.OQ,-18.40692084
698,2013,CWBC.OQ,
699,2013,CZNC.OQ,6.838258114
700,2014,CZNC.OQ,14.6829914
701,2015,CZNC.OQ,5.679269718
702,2016,CZNC.OQ,7.008850853
703,2017,CZNC.OQ,31.17757144
704,2018,CZNC.OQ,-4.403379829
705,2019,CZNC.OQ,14.9404068
706,2020,CZNC.OQ,11.83137013
